city,main_area,url
Харків,Шевченківський ,https://www.olx.ua//d/uk/obyavlenie/arenda-kvartiry-tsentr-botanicheskiy-sad-IDVMK37.html
Харків,Шевченківський ,https://www.olx.ua//d/uk/obyavlenie/sdam-1-kom-kv-v-sovremennom-zhk-vozle-metro-botanicheskiy-sad-zhk-ultra-IDXdVYn.html
Харків,Шевченківський ,https://www.olx.ua//d/uk/obyavlenie/orenda-1-kmnatno-kvartiri-m-sportivna-IDX7dsH.html
Харків,Шевченківський ,https://www.olx.ua//d/uk/obyavlenie/sdam-1h-kvartiru-metro-pobeda-IDXgeDe.html
Харків,Шевченківський ,https://www.olx.ua//d/uk/obyavlenie/2k-44m2-oleksvka-m-pobeda-alekseevka-126370-IDXgabG.html
Харків,Шевченківський ,https://www.olx.ua//d/uk/obyavlenie/sdam-v-arendu-2-komnatnuyu-kvartiru-na-pr-pobedy-78-IDXgdvH.html
Харків,Шевченківський ,https://www.olx.ua//d/uk/obyavlenie/sdam-dvuhkomnatnuyu-kvartiru-metro-bot-sad-IDXcN4c.html
Харків,Шевченківський ,https://www.olx.ua//d/uk/obyavlenie/zhk-rogatinskiy-sdam-1-komn-kv-ru-klochkovskaya-tsentralnyy-rynok-IDXeZXn.html
Харків,Шевченківський ,https://www.olx.ua//d/uk/obyavlenie/sdam-1-komnatnuyu-kvartiru-zhk-klyuch-avantazh-sarzhin-yar-IDXcSqL.html
Харків,Шевченківський ,https://www.olx.ua//d/uk/obyavlenie/sdaetsya-2k-kvartira-u-m-botanicheskiy-sad-5-minut-peshkom-IDX9Ejp.html
Харків,Шевченківський ,https://www.olx.ua//d/uk/obyavlenie/sdam-v-arendu-1-komnatnuyu-kvartiru-na-alekseevke-pr-pobedy-62g-IDXcO6N.html
Харків,Шевченківський ,https://www.olx.ua//d/uk/obyavlenie/sdam-1-no-komnatnuyu-kvartiru-m-bot-sad-ul-lyapunova-vv-IDVSW0i.html
Харків,Шевченківський ,https://www.olx.ua//d/uk/obyavlenie/sdam-1k-kv-m-nauchnaya-shevchenkovskiy-ul-evropeyskaya-novgorodskaya12-IDVWNqE.html
